timestamp,transformer_id,voltage_l1,voltage_l2,current_l1,current_l2,frequency,thd_voltage,thd_current,oil_temp_top,oil_temp_bottom,h2_gas_ppm,ch4_gas_ppm,voltage_kv,power_mva,age_years,fault_type,severity,anomaly,criticality,transformer_type,load_factor
2025-10-02 05:22:46.088997,T400_219,397744.2,400319.3,0.28,0.28,49.956,3.19,2.14,41.6,37.1,110.2,70.1,400,418.6,15,radial_displacement,0.478,1,0.466,transmission_400kv,0.463
2025-10-07 03:18:46.090996,T11_414,11102.6,11077.4,0.32,0.3,50.011,0.92,1.26,34.9,32.2,32.2,23.0,11,10.5,14,healthy,0.0,0,0.041,distribution_11kv,0.582
2025-09-20 03:14:46.092000,T400_191,394224.0,400276.1,0.23,0.23,50.07,1.46,1.21,37.0,32.1,25.1,22.1,400,191.7,11,healthy,0.0,0,0.028,transmission_400kv,0.819
2025-09-25 14:10:46.092999,T132_303,131981.9,131696.9,0.3,0.31,49.987,2.05,1.24,41.2,38.1,39.2,26.3,132,93.2,18,healthy,0.0,0,0.072,power_132kv,0.736
2025-10-03 12:35:46.092999,T400_857,404387.5,403981.7,0.19,0.2,50.103,2.84,1.94,29.4,26.0,71.6,47.7,400,261.6,36,healthy,0.0,0,0.214,transmission_400kv,0.526
2025-10-11 03:29:46.093998,T132_072,132411.4,131094.0,0.19,0.2,49.93,2.02,1.37,40.4,35.6,50.7,36.4,132,59.6,24,healthy,0.0,0,0.119,power_132kv,0.743
2025-10-10 10:57:46.094997,T132_406,130507.2,131099.8,0.31,0.3,50.036,3.62,2.73,39.3,36.5,130.7,87.4,132,88.2,14,shorted_turns,0.653,1,0.594,power_132kv,0.759
2025-09-28 20:25:46.094997,T400_478,405624.2,396077.6,0.17,0.2,49.969,1.93,1.34,29.5,25.2,38.5,28.9,400,353.4,18,healthy,0.0,0,0.069,transmission_400kv,0.389
2025-10-07 12:00:46.095996,T132_139,131432.9,132841.6,0.11,0.1,50.121,2.9,1.81,22.9,19.5,82.9,55.5,132,72.5,12,winding_deformation,0.386,1,0.341,power_132kv,0.33
2025-09-28 17:33:46.095996,T132_876,130791.9,130513.9,0.25,0.24,50.013,3.25,2.15,38.1,35.6,105.1,71.0,132,65.6,20,shorted_turns,0.358,1,0.416,power_132kv,0.814
2025-09-13 06:22:46.096999,T132_931,129572.0,132851.4,0.09,0.09,50.017,2.97,2.36,38.6,34.4,108.4,73.6,132,34.1,22,shorted_turns,0.321,1,0.413,power_132kv,0.584
2025-10-04 13:30:46.096999,T400_630,399002.3,402176.7,0.29,0.26,50.011,2.89,1.78,31.2,27.4,66.1,46.4,400,252.1,36,healthy,0.0,0,0.199,transmission_400kv,0.772
2025-09-30 02:53:46.097996,T132_908,131691.4,132792.4,0.31,0.32,50.054,2.32,1.45,41.5,37.0,51.5,30.8,132,89.8,21,healthy,0.0,0,0.116,power_132kv,0.848
2025-09-25 08:38:46.099002,T132_202,131594.2,130677.3,0.08,0.07,50.008,3.09,2.03,26.8,24.6,105.3,71.4,132,33.7,23,core_ground,0.271,1,0.388,power_132kv,0.481
2025-10-04 20:27:46.099002,T132_300,130849.7,132702.9,0.22,0.21,50.023,1.66,0.87,43.2,40.9,29.0,21.4,132,71.3,9,healthy,0.0,0,0.023,power_132kv,0.662
2025-10-08 00:48:46.099998,T11_537,10707.8,10952.7,0.47,0.49,50.04,3.73,2.66,51.7,49.1,112.0,70.5,11,12.4,7,winding_deformation,0.771,1,0.571,distribution_11kv,0.729
2025-09-16 09:39:46.099998,T132_437,131184.7,131825.5,0.15,0.16,50.025,1.46,1.4,20.0,18.0,34.3,17.3,132,60.5,9,healthy,0.0,0,0.035,power_132kv,0.59
2025-10-04 05:41:46.100996,T11_341,11023.0,10859.1,0.57,0.52,49.965,1.79,1.43,32.0,29.1,44.6,30.1,11,19.9,20,healthy,0.0,0,0.092,distribution_11kv,0.512
2025-09-15 22:57:46.102000,T400_800,404709.9,395522.1,0.22,0.2,49.948,1.78,0.97,29.4,26.3,36.8,21.5,400,169.6,11,healthy,0.0,0,0.047,transmission_400kv,0.859
2025-09-24 08:41:46.102000,T11_741,10992.7,10956.4,0.04,0.03,49.989,2.47,1.58,23.9,19.0,54.7,41.6,11,1.0,29,healthy,0.0,0,0.146,distribution_11kv,0.668
2025-09-14 00:45:46.102996,T132_481,132136.8,131349.9,0.23,0.25,50.09,1.99,1.62,20.3,18.0,47.0,32.7,132,89.5,23,healthy,0.0,0,0.106,power_132kv,0.608
2025-09-13 05:00:46.103999,T400_645,395759.6,393409.7,0.3,0.28,50.061,2.23,1.46,41.6,38.5,54.5,35.5,400,265.0,27,healthy,0.0,0,0.139,transmission_400kv,0.738
2025-10-01 07:17:46.103999,T11_576,10833.7,11054.5,0.73,0.73,50.028,1.88,1.24,26.9,23.2,35.7,28.0,11,22.6,15,healthy,0.0,0,0.054,distribution_11kv,0.603
